ponto;data;hora;press_mca;vazao_l/s
1;20/07/2024;11:20:00;0;63.69
2;20/07/2024;11:21:00;0;60.79
3;20/07/2024;11:22:00;0;63.64
4;20/07/2024;11:23:00;0;64.65
5;20/07/2024;11:24:00;0;63.14
6;20/07/2024;11:25:00;0;59.03
7;20/07/2024;11:26:00;0;65.57
8;20/07/2024;11:27:00;0;64.26
9;20/07/2024;11:28:00;0;62.11
10;20/07/2024;11:29:00;0;65.57
11;20/07/2024;11:30:00;0;63.72
12;20/07/2024;11:31:00;0;61.21
13;20/07/2024;11:32:00;0;63.08
14;20/07/2024;11:33:00;0;61.68
15;20/07/2024;11:34:00;0;64.63
16;20/07/2024;11:35:00;0;64.2
17;20/07/2024;11:36:00;0;64.57
18;20/07/2024;11:37:00;0;60.75
19;20/07/2024;11:38:00;0;63.85
20;20/07/2024;11:39:00;0;61.91
21;20/07/2024;11:40:00;0;63.31
22;20/07/2024;11:41:00;0;63.74
23;20/07/2024;11:42:00;0;64.03
24;20/07/2024;11:43:00;0;65.77
25;20/07/2024;11:44:00;0;66.21
26;20/07/2024;11:45:00;0;64.71
27;20/07/2024;11:46:00;0;63.45
28;20/07/2024;11:47:00;0;57.44
29;20/07/2024;11:48:00;0;57.75
30;20/07/2024;11:49:00;0;64.26
31;20/07/2024;11:50:00;0;59.6
32;20/07/2024;11:51:00;0;61.22
33;20/07/2024;11:52:00;0;59.7
34;20/07/2024;11:53:00;0;64.12
35;20/07/2024;11:54:00;0;59.59
36;20/07/2024;11:55:00;0;62.03
37;20/07/2024;11:56:00;0;59.75
38;20/07/2024;11:57:00;0;59.69
39;20/07/2024;11:58:00;0;56.44
40;20/07/2024;11:59:00;0;56.02
41;20/07/2024;12:00:00;0;63.35
42;20/07/2024;12:01:00;0;59.69
43;20/07/2024;12:02:00;0;58.24
44;20/07/2024;12:03:00;0;60.48
45;20/07/2024;12:04:00;0;58.12
46;20/07/2024;12:05:00;0;60.55
47;20/07/2024;12:06:00;0;59.24
48;20/07/2024;12:07:00;0;61.11
49;20/07/2024;12:08:00;0;60.01
50;20/07/2024;12:09:00;0;59.72
51;20/07/2024;12:10:00;0;57.85
52;20/07/2024;12:11:00;0;55.63
53;20/07/2024;12:12:00;0;55.11
54;20/07/2024;12:13:00;0;53.51
55;20/07/2024;12:14:00;0;57.3
56;20/07/2024;12:15:00;0;57.06
57;20/07/2024;12:16:00;0;56.7
58;20/07/2024;12:17:00;0;56.99
59;20/07/2024;12:18:00;0;58.08
60;20/07/2024;12:19:00;0;57.18
