ponto;data;hora;dp_mmH2O;p_mH2O;veloc_m/s;vazao_l/s
1;20/07/2024;11:20:00;2.31;180.2;1.63;49.18
2;20/07/2024;11:21:00;2.3;179.6;1.62;49.1
3;20/07/2024;11:22:00;2.3;187.4;1.66;50.15
4;20/07/2024;11:23:00;2.29;178.4;1.62;48.93
5;20/07/2024;11:24:00;2.29;181.1;1.63;49.3
6;20/07/2024;11:25:00;2.28;191.5;1.68;50.7
7;20/07/2024;11:26:00;2.28;186.1;1.65;49.98
8;20/07/2024;11:27:00;2.28;181.9;1.63;49.41
9;20/07/2024;11:28:00;2.27;198.8;1.71;51.66
10;20/07/2024;11:29:00;2.26;192.9;1.68;50.88
11;20/07/2024;11:30:00;2.28;180.6;1.63;49.24
12;20/07/2024;11:31:00;2.26;193.2;1.68;50.92
13;20/07/2024;11:32:00;2.26;188.8;1.66;50.34
14;20/07/2024;11:33:00;2.25;176.8;1.61;48.71
15;20/07/2024;11:34:00;2.25;177.7;1.61;48.84
16;20/07/2024;11:35:00;2.24;174.6;1.6;48.41
17;20/07/2024;11:36:00;2.25;190;1.67;50.5
18;20/07/2024;11:37:00;2.24;190.6;1.67;50.58
19;20/07/2024;11:38:00;2.23;197;1.7;51.42
20;20/07/2024;11:39:00;2.23;181.7;1.63;49.38
21;20/07/2024;11:40:00;2.24;182;1.63;49.43
22;20/07/2024;11:41:00;2.23;175;1.6;48.47
23;20/07/2024;11:42:00;2.24;185.4;1.65;49.89
24;20/07/2024;11:43:00;2.22;190.6;1.67;50.58
25;20/07/2024;11:44:00;2.22;188.5;1.66;50.3
26;20/07/2024;11:45:00;2.22;196;1.7;51.29
27;20/07/2024;11:46:00;2.22;191.1;1.67;50.65
28;20/07/2024;11:47:00;2.2;183.7;1.64;49.66
29;20/07/2024;11:48:00;2.21;185.6;1.65;49.91
30;20/07/2024;11:49:00;2.22;174.1;1.6;48.34
31;20/07/2024;11:50:00;2.2;168.9;1.57;47.61
32;20/07/2024;11:51:00;2.17;180.5;1.63;49.22
33;20/07/2024;11:52:00;2.2;181.6;1.63;49.37
34;20/07/2024;11:53:00;2.22;170.8;1.58;47.88
35;20/07/2024;11:54:00;2.19;174.2;1.6;48.36
36;20/07/2024;11:55:00;2.18;182;1.63;49.43
37;20/07/2024;11:56:00;2.18;172.5;1.59;48.12
38;20/07/2024;11:57:00;2.17;172.2;1.59;48.08
39;20/07/2024;11:58:00;2.17;164.2;1.55;46.95
40;20/07/2024;11:59:00;2.15;170.3;1.58;47.81
41;20/07/2024;12:00:00;2.13;156.3;1.51;45.8
42;20/07/2024;12:01:00;2.12;158;1.52;46.05
43;20/07/2024;12:02:00;2.06;179.3;1.62;49.06
44;20/07/2024;12:03:00;2.09;166.7;1.56;47.3
45;20/07/2024;12:04:00;2.07;156.2;1.51;45.79
46;20/07/2024;12:05:00;2.05;173.2;1.59;48.22
47;20/07/2024;12:06:00;2.04;161.3;1.54;46.53
48;20/07/2024;12:07:00;2.02;176.6;1.61;48.69
49;20/07/2024;12:08:00;2;165.4;1.56;47.12
50;20/07/2024;12:09:00;1.98;169.7;1.58;47.73
51;20/07/2024;12:10:00;1.96;170.1;1.58;47.78
52;20/07/2024;12:11:00;1.96;169;1.57;47.63
53;20/07/2024;12:12:00;1.94;167;1.57;47.35
54;20/07/2024;12:13:00;1.92;158.1;1.52;46.07
55;20/07/2024;12:14:00;1.92;157.6;1.52;45.99
56;20/07/2024;12:15:00;1.9;150.8;1.49;44.99
57;20/07/2024;12:16:00;1.88;153.2;1.5;45.35
58;20/07/2024;12:17:00;1.87;157.8;1.52;46.02
59;20/07/2024;12:18:00;1.86;162.4;1.54;46.69
60;20/07/2024;12:19:00;1.83;158.8;1.53;46.17
